Scheme,Repeat,Method,N,Accuracy,BalancedAccuracy,MacroF1,QWK,MAE,Within1,SevereErrorRate
five_class,9,MidpointExtended_LR,882,0.7380952380952381,0.7355170586062121,0.7328121156870158,0.9284922626960592,0.2755102040816326,0.9863945578231292,0.013605442176870748
five_class,0,Prevalence_LR,882,0.6473922902494331,0.6308489341726473,0.6004715133833194,0.9089951527424112,0.3764172335600907,0.9761904761904762,0.023809523809523808
five_class,1,Prevalence_LR,882,0.6462585034013606,0.6297189906698224,0.5993250041390066,0.9067952196564232,0.3798185941043084,0.9750566893424036,0.024943310657596373
five_class,2,Prevalence_LR,882,0.6428571428571429,0.6266829041242643,0.5961723517829502,0.9073801311092332,0.38095238095238093,0.9773242630385488,0.022675736961451247
five_class,3,Prevalence_LR,882,0.6439909297052154,0.6290184947549695,0.5984188756331681,0.9085805187498788,0.3786848072562358,0.9773242630385488,0.022675736961451247
five_class,4,Prevalence_LR,882,0.645124716553288,0.6287659191484558,0.5984604618308641,0.909204013739756,0.37755102040816324,0.9773242630385488,0.022675736961451247
five_class,5,Prevalence_LR,882,0.645124716553288,0.6285971613525793,0.598392799497352,0.9099632006241933,0.3764172335600907,0.9784580498866213,0.021541950113378686
five_class,6,Prevalence_LR,882,0.6439909297052154,0.6283272352003002,0.5978168115171117,0.9095199515555051,0.37755102040816324,0.9784580498866213,0.021541950113378686
five_class,7,Prevalence_LR,882,0.6439909297052154,0.6279816054229655,0.5974822386159098,0.9081014870626161,0.3798185941043084,0.9761904761904762,0.023809523809523808
five_class,8,Prevalence_LR,882,0.645124716553288,0.6292803067216669,0.5987868321431741,0.9097981528439536,0.3764172335600907,0.9784580498866213,0.021541950113378686
five_class,9,Prevalence_LR,882,0.645124716553288,0.6299715662763361,0.5994773257856542,0.9069704219526793,0.3798185941043084,0.9761904761904762,0.023809523809523808
five_class,0,VRI_Threshold,882,0.6235827664399093,0.6127158279850204,0.6167228054549702,0.883501667766828,0.40476190476190477,0.971655328798186,0.02834467120181406
five_class,1,VRI_Threshold,882,0.6281179138321995,0.6183779835022161,0.6223154087901098,0.8839610833511254,0.4002267573696145,0.971655328798186,0.02834467120181406
five_class,2,VRI_Threshold,882,0.6235827664399093,0.6136505286298013,0.6191020237957393,0.88340319429856,0.4036281179138322,0.9727891156462585,0.027210884353741496
five_class,3,VRI_Threshold,882,0.6224489795918368,0.612070322979569,0.6172436317746968,0.8835702388829314,0.40476190476190477,0.9727891156462585,0.027210884353741496
five_class,4,VRI_Threshold,882,0.6258503401360545,0.6183306838806131,0.623324411395685,0.8841413830816223,0.4002267573696145,0.9739229024943311,0.026077097505668934
five_class,5,VRI_Threshold,882,0.6247165532879818,0.6151431900849438,0.621174138767847,0.8815951947220718,0.40476190476190477,0.9705215419501134,0.02947845804988662
five_class,6,VRI_Threshold,882,0.6235827664399093,0.6146178217455176,0.6203314166503858,0.8824247283617991,0.40476190476190477,0.971655328798186,0.02834467120181406
five_class,7,VRI_Threshold,882,0.626984126984127,0.6182063591257064,0.6226358360899349,0.8834489593657087,0.4013605442176871,0.971655328798186,0.02834467120181406
five_class,8,VRI_Threshold,882,0.6224489795918368,0.6133464261275564,0.6176274072156789,0.8823628635706566,0.40589569160997735,0.971655328798186,0.02834467120181406
five_class,9,VRI_Threshold,882,0.6201814058956916,0.6118290632015247,0.6170641067902092,0.8815813516662507,0.40816326530612246,0.971655328798186,0.02834467120181406
